Titulo,Precio,En Gs,Link,Img
Call of Duty: Black Ops III Steam Key GLOBAL,18.10 USD,160004.0,https://www.g2a.com/call-of-duty-black-ops-iii-steam-key-global-i10000007206010,https://images.g2a.com/newlayout/270x270/1x1x0/0f3902fbb90a/59129ac55bafe331856afda9
Random PREMIUM 5 Keys Steam Key GLOBAL,6.80 USD,60112.0,https://www.g2a.com/random-premium-5-keys-steam-key-global-i10000000024005,https://images.g2a.com/newlayout/270x270/1x1x0/9cf1106e9bbb/5bae8f895bafe3d2d760f440
Random 5 Keys Steam Key GLOBAL,2.23 USD,19713.2,https://www.g2a.com/random-5-keys-steam-key-global-i10000001534006,https://images.g2a.com/newlayout/270x270/1x1x0/b69dd440f989/5bae92065bafe3d2bb113908
No Man's Sky Steam Key GLOBAL,24.57 USD,217198.80000000002,https://www.g2a.com/no-mans-sky-steam-key-global-i10000016743015,https://images.g2a.com/newlayout/270x270/1x1x0/81bdb3231f63/5b58695dae653a67c354ffb4
Human: Fall Flat Steam Key GLOBAL,3.30 USD,29172.0,https://www.g2a.com/human-fall-flat-steam-key-global-i10000022075006,https://images.g2a.com/newlayout/270x270/1x1x0/694d4d527454/5a13d9edae653a1a2f2f5ba2
The Elder Scrolls V: Skyrim Special Edition (PC) - Steam Key - GLOBAL,13.90 USD,122876.0,https://www.g2a.com/the-elder-scrolls-v-skyrim-special-edition-steam-key-global-i10000029090004,https://images.g2a.com/newlayout/270x270/1x1x0/7e0bf19deb7f/5912a4dcae653a3451375597
Green Hell Steam Key GLOBAL,12.07 USD,106698.8,https://www.g2a.com/green-hell-steam-key-global-i10000170815001,None
Fallout 4: Game of the Year Edition PC Steam Key GLOBAL,11.92 USD,105372.8,https://www.g2a.com/fallout-4-game-of-the-year-edition-pc-steam-key-global-i10000076274001,None
Dead by Daylight Steam Key GLOBAL,7.76 USD,68598.4,https://www.g2a.com/dead-by-daylight-steam-key-global-i10000018558012,None
NBA 2K20 Standard Edition (PC) - Steam Key - GLOBAL,13.41 USD,118544.4,https://www.g2a.com/nba-2k20-standard-edition-steam-key-global-i10000188968015,None
Kerbal Space Program Steam Key GLOBAL,4.98 USD,44023.200000000004,https://www.g2a.com/kerbal-space-program-steam-key-global-i10000014989005,None
Call of Duty: Black Ops II Steam Key GLOBAL,18.28 USD,161595.2,https://www.g2a.com/call-of-duty-black-ops-ii-steam-key-global-i10000000565013,None
Borderlands 3 (Standard Edition) - Steam - Key (GLOBAL),25.97 USD,229574.80000000002,https://www.g2a.com/borderlands-3-standard-edition-steam-key-global-i10000186970022,None
PAYDAY 2 Steam Key GLOBAL,3.35 USD,29614.000000000004,https://www.g2a.com/payday-2-steam-key-global-i10000002256012,None
Dark Souls III Deluxe Edition Steam Key GLOBAL,18.44 USD,163009.6,https://www.g2a.com/dark-souls-iii-deluxe-edition-steam-key-global-i10000014305007,None
Risk of Rain 2 Steam Key GLOBAL,10.47 USD,92554.8,https://www.g2a.com/risk-of-rain-2-steam-key-global-i10000186331001,None
PLAYERUNKNOWN'S BATTLEGROUNDS (PUBG) (PC) - Steam Key - GLOBAL,13.10 USD,115804.00000000001,https://www.g2a.com/playerunknowns-battlegrounds-pubg-steam-key-global-i10000035511002,None
Random PREMIUM 1 Key Steam Key GLOBAL,2.80 USD,24751.999999999996,https://www.g2a.com/random-premium-1-key-steam-key-global-i10000000024006,None
